Gene Symbol Herein	Gene Symbol ZFIN	Gene Symbol Source	Species	Higher-level taxon	Evidence	Additional Details	S	Pub 
Aldh1a2		Raldh2	mouse	Sarcopterygii: Mammalia	knockout	Raldh2 knockout:Â ShhÂ expression is greatly reduced; Hoxd11Â andÂ Hoxd12Â  ectopically expressed in early limb buds	1	(Sakamoto et al., 2009)
Alx4		Alx4	mouse	Sarcopterygii: Mammalia	knockout	(Panman et al., 2005)	1	(Richardson et al., 2009)
and1		And1	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	phylogenetic analysis		4	(Amemiya et al., 2013)
and1		And1	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	sequencing	Genome sequencing	4	(Amemiya et al., 2013)
and1	and1	and1	zebrafish	Actinopterygii: Teleostei	in situ		3	(Freitas et al., 2012)
and1	and1	And (family)	zebrafish	Actinopterygii: Teleostei	in situ	(Zhang et al., 2010)	3	(Yano and Tamura, 2013)
and1	and1	and1	zebrafish	Actinopterygii: Teleostei	knockdown		2	(Zhang et al., 2010)
and2		And2	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	phylogenetic analysis		4	(Amemiya et al., 2013)
and2		And2	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	sequencing	Genome sequencing	4	(Amemiya et al., 2013)
and2	and2	And (family)	zebrafish	Actinopterygii: Teleostei	in situ	(Zhang et al., 2010)	3	(Yano and Tamura, 2013)
and2	and2	and2	zebrafish	Actinopterygii: Teleostei	knockdown		2	(Zhang et al., 2010)
Angptl2		Angptl2	human	Sarcopterygii: Mammalia	sequencing	sequence comparison with zebrafish	4	(Kubota et al., 2005)
Angptl2	angptl2b	Angptl2 (angptl2b as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Kubota et al., 2005) 
Angptl2	angptl2b	Angptl2 (angptl2b as per ZFIN)	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Kubota et al., 2005) 
Angptl2	angptl2b	Angptl2 (angptl2b as per ZFIN)	zebrafish	Actinopterygii: Teleostei	PCR	RT-PCR	3	(Kubota et al., 2005) 
Angptl2	angptl2b	Angptl2 (angptl2b as per ZFIN)	zebrafish	Actinopterygii: Teleostei	sequencing	sequence comparison with human	4	(Kubota et al., 2005) 
Apoe	apoeb	apoE (apoeb for (Yano et al., 2012) in ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Yano et al., 2012)
BARX1		Barx1	chick	Sarcopterygii: Aves	in situ	(Church et al., 2005)	3	(Crotwell and Mabee, 2007)
Bmp2		Bmp2	chick	Sarcopterygii: Aves	in situ	(Francis et al., 1994; Duprez et al., 1996)	3	(Crotwell and Mabee, 2007) 
Bmp2		Bmp2	chick	Sarcopterygii: Aves	ectopic expression	(Healy et al., 1999)	2	(Yan et al., 2005)
Bmp2		Bmp2	mouse	Sarcopterygii: Mammalia	knockout	(Maatouk et al., 2009)	1	(Abbasi, 2011)
Bmp2		Bmp2	mouse	Sarcopterygii: Mammalia	in situ	(Laufer et al., 1994)	3	(Sordino and Duboule, 1996)
Bmp2	bmp2a	bmp2a	zebrafish	Actinopterygii: Teleostei	in situ	(Crotwell et al., 2004)	3	(Crotwell and Mabee, 2007) 
Bmp2	bmp2b	bmp2b	zebrafish	Actinopterygii: Teleostei	in situ	(Crotwell et al., 2004)	3	(Crotwell and Mabee, 2007) 
Bmp4		Bmp4	chick	Sarcopterygii: Aves	in situ		3	(Zeller, 2010)
Bmp4		Bmp4	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	PCR	degenerate PCR, RT-PCR	3	(Tanaka et al., 2002)  
Bmp4		Bmp4	mouse	Sarcopterygii: Mammalia	knockout	(Maatouk et al., 2009)	1	(Abbasi, 2011)
Bmp4		Bmp4	Xenopus	Sarcopterygii: Amphibia	in situ	(Satoh et al., 2005)	3	(Crotwell and Mabee, 2007) 
Bmp4	bmp4	bmp4	zebrafish	Actinopterygii: Teleostei	in situ		3	(Crotwell and Mabee, 2007) 
ccnd1	ccnd1	cyclin d1 (ccnd1 as per ZFIN for Freitas et al., 2012)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Freitas et al., 2012)
Chrd		chordin	chick	Sarcopterygii: Aves	in situ	(Francis-West et al., 1999)	3	(Crotwell and Mabee, 2007) 
Chrd		chordin	mouse	Sarcopterygii: Mammalia	in situ	(Scott et al., 1999; Scott et al., 2000)	3	(Crotwell and Mabee, 2007) 
Chrd	chd	chordin	zebrafish	Actinopterygii: Teleostei	in situ		3	(Crotwell and Mabee, 2007) 
col1a1a	col1a1a	col1a1a	zebrafish	Actinopterygii: Teleostei	in situ		3	(Duran et al., 2011)
col1a1a	col1a1a	col1a1a	zebrafish	Actinopterygii: Teleostei	knockdown		2	(Duran et al., 2011)
col1a1a	col1a1a	col1a1a	zebrafish	Actinopterygii: Teleostei	PCR	RT-PCR	3	(Duran et al., 2011)
Col2a1		Col2a1	chick	Sarcopterygii: Aves	in situ	(Wilson and Tucker, 2004)	3	(Crotwell and Mabee, 2007) 
Col2a1		col2a1	human	Sarcopterygii: Mammalia	natural mutation	natural mutation; spondyloepiphyseal dysplasia	1	(Yan et al., 2005) 
Col2a1		Col2a1	mouse	Sarcopterygii: Mammalia	in situ	(Wilson and Tucker, 2004)	3	(Crotwell and Mabee, 2007) 
