gene_name	evidence	organism
hoxc9	4	human
shox	1	human
hoxc6	4	human
irx5	4	human
irx4	4	human
irx6	4	human
irx1	3	human
hoxd11a	4	human
irx3	4	human
irx2	4	human
hoxa13	4	human
hoxa11	4	human
hoxa10	4	human
angptl2	4	human
sp8	4	human
sp9	4	human
hoxb8	4	human
hoxb9	4	human
hoxd8	4	human
hoxd9	4	human
hoxd4	4	human
epha4	4	human
lmo4	4	human
hoxd1	4	human
gdf5	1	human
hoxd3	4	human
hoxc11	4	human
hoxc10	4	human
hoxb5	4	human
col2a1	1	human
hoxd12	4	human
hoxd13	1	human
hoxd10	4	human
tbx2	4	human
tbx3	4	human
sox9	1	human
pax1	4	human
tbx4	1	human
tbx5	1	human
hoxa9	4	human
bmp4	3	zebrafish
shox	3	zebrafish
msxa	3	zebrafish
msxb	3	zebrafish
hand2	3	zebrafish
hoxa13a	3	zebrafish
hoxa13b	3	zebrafish
bmp2b	3	zebrafish
ext2	2	zebrafish
hoxd9a	3	zebrafish
ccnd1	3	zebrafish
irx3a	3	zebrafish
evx1	3	zebrafish
plod1a	2	zebrafish
evx2	3	zebrafish
eng1a	3	zebrafish
hoxd10a	2	zebrafish
shha	1	zebrafish
fgfr2	3	zebrafish
hoxa10b	3	zebrafish
frem2a	3	zebrafish
hoxd13a	2	zebrafish
sp8a	3	zebrafish
cyp26b1	3	zebrafish
hibadha	3	zebrafish
hibadhb	3	zebrafish
sp9	3	zebrafish
hoxc10a	3	zebrafish
etv5b	3	zebrafish
dlx2a	3	zebrafish
irx5a	3	zebrafish
irx5b	3	zebrafish
tbx4	3	zebrafish
prrx1a	1	zebrafish
prrx1b	3	zebrafish
hoxa9b	3	zebrafish
hoxa9a	3	zebrafish
wnt9b	3	zebrafish
vcana	3	zebrafish
bmp2a	3	zebrafish
nog3	3	zebrafish
wnt2ba	2	zebrafish
irx2a	3	zebrafish
wnt9a	3	zebrafish
fgf4	3	zebrafish
pbx2	3	zebrafish
msx2b	3	zebrafish
col1a1a	2	zebrafish
gli3	3	zebrafish
fgf24	2	zebrafish
hoxd11a	3	zebrafish
tcf7	1	zebrafish
chd	3	zebrafish
lbx2	3	zebrafish
lbx1a	3	zebrafish
nkx3.2	3	zebrafish
tbx2b	3	zebrafish
gdf5	3	zebrafish
lnpa	3	zebrafish
fgf16	1	zebrafish
gdf11	1	zebrafish
tbx3	4	zebrafish
irx4a	3	zebrafish
dlx3b	3	zebrafish
and1	2	zebrafish
tbx5a	1	zebrafish
and2	2	zebrafish
pea3	3	zebrafish
hoxa11b	3	zebrafish
hoxa11a	3	zebrafish
rspo2	3	zebrafish
pdlim7	2	zebrafish
myod1	3	zebrafish
irx1a	3	zebrafish
pax1b	1	zebrafish
dusp6	3	zebrafish
lmo4a	3	zebrafish
tax1bp1b	3	zebrafish
hoxd4a	4	zebrafish
sox9a	1	zebrafish
sox9b	1	zebrafish
apoeb	3	zebrafish
hoxd12a	3	zebrafish
fgf18a	3	zebrafish
col2a1a	3	zebrafish
fgfr1a	3	zebrafish
col2a1b	2	zebrafish
fgf10a	2	zebrafish
dlx5a	3	zebrafish
prdm1a	2	zebrafish
angptl2b	3	zebrafish
fgf8a	3	zebrafish
fgf8b	3	zebrafish
hoxc9	3	mouse
tax1bp1	3	mouse
bmp4	1	mouse
bmp2	1	mouse
wnt9a	3	mouse
wnt3	1	mouse
jazf1	3	mouse
hoxc6	3	mouse
gli3	1	mouse
hoxb5	1	mouse
shox2	3	mouse
hoxd10	3	mouse
hand2	1	mouse
irx5	3	mouse
irx4	3	mouse
irx6	3	mouse
irx1	3	mouse
dlx1	3	mouse
irx3	3	mouse
irx2	3	mouse
rspo2	1	mouse
pitx1	1	mouse
tbx3	3	mouse
tbx2	3	mouse
fgfr2	1	mouse
lbx1	1	mouse
hoxa13	1	mouse
meis2	3	mouse
hoxa11	1	mouse
hoxa10	1	mouse
twist1	3	mouse
chrd	3	mouse
lnp	3	mouse
meox2	1	mouse
tbx4	1	mouse
wnt3a	3	mouse
tbx5	1	mouse
nog	1	mouse
prdm1	1	mouse
sp8	3	mouse
sp9	3	mouse
hoxb8	2	mouse
hoxb9	1	mouse
hoxd8	3	mouse
hoxd9	1	mouse
hoxd4	3	mouse
epha4	4	mouse
lmo4	4	mouse
hoxd1	3	mouse
gdf5	1	mouse
alx4	1	mouse
hoxc11	3	mouse
hoxc10	3	mouse
hoxd11a	1	mouse
nkx3-2	3	mouse
hibadh	3	mouse
msx1	3	mouse
msx2	3	mouse
fgf10	1	mouse
fgf17	3	mouse
gdf11	1	mouse
fgfr1	3	mouse
col2a1	3	mouse
wnt2b	3	mouse
pax3	1	mouse
hoxd12	3	mouse
hoxd13	1	mouse
hoxd3	3	mouse
cyp26b1	1	mouse
en1	1	mouse
sox8	1	mouse
sox9	1	mouse
pax1	1	mouse
hoxa9	1	mouse
fgf9	3	mouse
fgf8	1	mouse
shh	1	mouse
wnt5a	1	mouse
fgf4	1	mouse
wnt7a	1	mouse
fgf2	2	mouse
aldh1a2	1	mouse
bmp4	3	xenopus
tbx5	4	xenopus
hoxa13	3	xenopus
hoxa11	3	xenopus
t	2	xenopus
pax1	4	xenopus
irx3	4	xenopus
sox9	3	xenopus
irx5	4	xenopus
irx4	4	xenopus
irx1	4	xenopus
hoxa9	3	xenopus
irx2	4	xenopus
