Character Number	GeneID	Genename	EQ IC	Entity IC	Evidence
2	ZDB-GENE-030131-2908	cyp26b1	1	0.92	1
2	ZDB-GENE-991124-7	tbx5a	1	0.69	3
1	ZDB-GENE-991124-7	tbx5a	1	0.68	3
1	ZDB-GENE-980526-364	evx1	1	0.61	3
1	ZDB-GENE-001103-1	sox9a	1	0.87	4
2	ZDB-GENE-001103-1	sox9a	1	0.73	4
1	ZDB-GENE-040708-1	prdm5	1	1	N/A
1	ZDB-GENE-070117-1249	unm_t30539	1	1	N/A
2	ZDB-GENE-060110-1	fgf20a	1	1	N/A
2	ZDB-GENE-990714-16	ahr2	1	0.92	N/A
1	ZDB-GENE-030219-90	bbs7	1	0.87	N/A
1	ZDB-GENE-071119-2	nes	1	0.71	N/A
4	ZDB-GENE-021003-1	acvrl1	1	0.71	N/A
4	ZDB-GENE-071119-2	nes	1	0.71	N/A
2	ZDB-GENE-030219-90	bbs7	1	0.7	N/A
1	ZDB-GENE-060110-1	fgf20a	1	0.69	N/A
1	ZDB-GENE-070117-462	unm_tl43f	1	0.69	N/A
1	ZDB-GENE-120123-27	unm_tft72	1	0.69	N/A
1	ZDB-GENE-120123-6	bka	1	0.69	N/A
1	ZDB-GENE-990715-10	skib	1	0.69	N/A
2	ZDB-GENE-120123-27	unm_tft72	1	0.69	N/A
2	ZDB-GENE-120123-6	bka	1	0.69	N/A
2	ZDB-GENE-990715-10	skib	1	0.69	N/A
1	ZDB-GENE-120123-7	duk	1	0.68	N/A
1	ZDB-GENE-000605-2	runx3	1	0.57	N/A
1	ZDB-GENE-040901-1	furina	1	0.57	N/A
2	ZDB-GENE-061116-1	foxe1	1	0.55	N/A
1	ZDB-GENE-020507-3	vangl2	1	0.54	N/A
2	ZDB-GENE-020507-3	vangl2	1	0.54	N/A
1	ZDB-GENE-040426-731	brpf1	1	0.52	N/A
1	ZDB-GENE-070117-1384	unm_t30620	1	0.52	N/A
4	ZDB-GENE-040901-1	furina	1	0.52	N/A
2	ZDB-GENE-070117-38	aus	1	0.5	N/A
2	ZDB-GENE-070521-2	ahctf1	1	0.5	N/A
1	ZDB-GENE-021022-3	kat6a	1	0.49	N/A
2	ZDB-GENE-030131-3776	ptena	1	0.34	N/A
4	ZDB-GENE-990603-1	cse1l	1	0.28	N/A
4	ZDB-GENE-010302-1	foxc1a	1	0.25	N/A
1	ZDB-GENE-030131-2908	cyp26b1	0.92	0.69	1
4	ZDB-GENE-041124-3	ext2	0.92	0.7	2
2	ZDB-GENE-980526-166	shha	0.92	0.73	3
2	ZDB-GENE-040625-53	slc12a2	0.92	0.92	N/A
2	ZDB-GENE-070321-1	osr1	0.92	0.92	N/A
2	ZDB-GENE-021115-2	trpm7	0.92	0.87	N/A
2	ZDB-GENE-070912-179	chd7	0.92	0.87	N/A
2	ZDB-GENE-030723-3	tgfb2	0.92	0.81	N/A
2	ZDB-GENE-990415-208	pdgfra	0.92	0.81	N/A
4	ZDB-GENE-030723-3	tgfb2	0.92	0.81	N/A
4	ZDB-GENE-990415-208	pdgfra	0.92	0.81	N/A
2	ZDB-GENE-070117-2173	lit	0.92	0.79	N/A
2	ZDB-GENE-000920-1	edn1	0.92	0.73	N/A
2	ZDB-GENE-980526-399	pax9	0.92	0.73	N/A
4	ZDB-GENE-990706-8	gli2a	0.92	0.7	N/A
1	ZDB-GENE-040426-2882	olfm2a	0.92	0.66	N/A
1	ZDB-GENE-070117-187	unm_tq253g	0.92	0.66	N/A
2	ZDB-GENE-041014-1	met	0.92	0.63	N/A
2	ZDB-GENE-030814-2	tp73	0.92	0.55	N/A
4	ZDB-GENE-001207-3	arnt2	0.92	0.54	N/A
4	ZDB-GENE-030130-1	epb41b	0.92	0.54	N/A
4	ZDB-GENE-980526-321	nkx2.5	0.92	0.45	N/A
4	ZDB-GENE-990415-179	nkx2.7	0.92	0.45	N/A
1	ZDB-GENE-070117-2154	krm	0.92	0.39	N/A
4	ZDB-GENE-050417-383	stk11	0.92	0.28	N/A
4	ZDB-GENE-990615-5	tbx16	0.92	0.25	N/A
2	ZDB-GENE-041124-3	ext2	0.87	0.73	2
1	ZDB-GENE-041124-3	ext2	0.87	0.7	2
1	ZDB-GENE-980526-166	shha	0.87	0.87	3
1	ZDB-GENE-030715-1	fgf10a	0.87	0.81	3
2	ZDB-GENE-030715-1	fgf10a	0.87	0.81	3
2	ZDB-GENE-030131-9102	col1a1a	0.87	0.69	3
2	ZDB-GENE-990415-72	fgf8a	0.87	0.52	3
2	ZDB-GENE-990415-49	dlx5a	0.87	0.5	3
2	ZDB-GENE-100119-1	col27a1a	0.87	0.87	N/A
1	ZDB-GENE-030723-3	tgfb2	0.87	0.81	N/A
1	ZDB-GENE-061013-95	hdac4	0.87	0.81	N/A
2	ZDB-GENE-030505-1	foxi1	0.87	0.79	N/A
2	ZDB-GENE-030805-5	tbx1	0.87	0.79	N/A
2	ZDB-GENE-030131-2193	prdm1a	0.87	0.73	N/A
2	ZDB-GENE-040426-731	brpf1	0.87	0.73	N/A
1	ZDB-GENE-030131-2193	prdm1a	0.87	0.7	N/A
2	ZDB-GENE-050107-6	eda	0.87	0.7	N/A
